Date,Cash,Allocated PNL,Allocated % PNL,Allocated,Total PNL,Total % PNL,Total
2023-08-14,0.0,41043.402,0.0,50000,-8956.598,-0.179,41043.402
2023-08-15,0.0,41432.548,0.0,50000,-8567.452,-0.171,41432.548
2023-08-16,0.0,40487.78,0.0,50000,-9512.22,-0.19,40487.78
2023-08-17,0.0,40192.283,0.0,50000,-9807.717,-0.196,40192.283
2023-08-18,0.0,40098.634,0.0,50000,-9901.366,-0.198,40098.634
2023-08-21,0.0,47731.712,0.0,50000,-2268.288,-0.045,47731.712
2023-08-22,0.0,45028.503,0.0,50000,-4971.497,-0.099,45028.503
2023-08-23,0.0,48041.784,0.0,50000,-1958.216,-0.039,48041.784
2023-08-24,0.0,48139.584,0.0,50000,-1860.416,-0.037,48139.584
2023-08-25,0.0,45756.855,0.0,50000,-4243.145,-0.085,45756.855
2023-08-28,0.0,47457.021,0.0,50000,-2542.979,-0.051,47457.021
2023-08-29,0.0,51512.877,0.0,50000,1512.877,0.03,51512.877
2023-08-30,0.0,52511.752,0.0,50000,2511.752,0.05,52511.752
2023-08-31,0.0,52701.121,0.0,50000,2701.121,0.054,52701.121
2023-09-01,0.0,50940.601,0.0,50000,940.601,0.019,50940.601
2023-09-05,0.0,51021.763,0.0,50000,1021.763,0.02,51021.763
2023-09-06,0.0,47927.328,0.0,50000,-2072.672,-0.041,47927.328
2023-09-07,0.0,46220.916,0.0,50000,-3779.084,-0.076,46220.916
2023-09-08,0.0,44828.727,0.0,50000,-5171.273,-0.103,44828.727
2023-09-11,0.0,44008.822,0.0,50000,-5991.178,-0.12,44008.822
2023-09-12,0.0,43367.871,0.0,50000,-6632.129,-0.133,43367.871
2023-09-13,0.0,44647.685,0.0,50000,-5352.315,-0.107,44647.685
2023-09-14,0.0,44847.461,0.0,50000,-5152.539,-0.103,44847.461
2023-09-15,0.0,41349.314,0.0,50000,-8650.686,-0.173,41349.314
2023-09-18,0.0,41486.656,0.0,50000,-8513.344,-0.17,41486.656
2023-09-19,0.0,40558.535,0.0,50000,-9441.465,-0.189,40558.535
2023-09-20,0.0,37892.78,0.0,50000,-12107.22,-0.242,37892.78
2023-09-21,0.0,35349.808,0.0,50000,-14650.192,-0.293,35349.808
2023-09-22,0.0,36583.841,0.0,50000,-13416.159,-0.268,36583.841
2023-09-25,0.0,37857.407,0.0,50000,-12142.593,-0.243,37857.407
